YEAR,ANNUAL,,,
1951,2705.6,,,
1952,2334.8,,,
1953,2544.8,,,
1954,2937.9,,,
1955,3134.6,,,
1956,2798.3,,,
1957,3103.2,,,
1958,2923.1,,,
1959,3746.2,,,
1960,3385.6,,,
1961,4257.9,,,
1962,3375.8,,,
1963,2651,,,
1964,2869.2,,,
1965,2342.5,,,
1966,2621.8,,,
1967,2569.1,,,
1968,3392.7,,,
1969,2664.9,,,
1970,2703.3,,,
1971,3076.7,,,
1972,2739.2,,,
1973,2412.4,,,
1974,2767.5,,,
1975,3498.4,,,
1976,2068.8,,,
1977,3047.6,,,
1978,3176.7,,,
1979,2503.1,,,
1980,2803.4,,,
1981,3005.8,,,
1982,2223.3,,,
1983,2397,,,
1984,2762.2,,,
1985,2390.8,,,
1986,2093.4,,,
1987,2137.6,,,
1988,2403.4,,,
1989,2422.6,,,
1990,2693.3,,,
1991,3184.5,,,
1992,3239.4,,,
1993,2717.7,,,
1994,3410.8,,,
1995,2858.8,,,
1996,2609.9,,,
1997,3252.5,,,
1998,3151.4,,,
1999,2914.7,,,
2000,2412.5,,,
2001,2910.6,,,
2002,2457.3,,,
2003,2275.8,,,
2004,2911.3,,,
2005,3151,,,
2006,3297.7,,,
2007,3619.5,,,
2008,2534.2,,,
2009,2815.9,,,
2010,3142,,,
2011,3041.6,,,
2012,2187.6,,,
2013,2823.7,,,
2014,3046.4,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
